,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
ALPRO mleko od lešnika 1l,"424,99","399,99","409,99","399,99",-,"399,99",-
BOOM BOX ovseni napitak badem bio 1l,"289,99","339,99","303,99","319,99","299,99","289,99",-
BOOM BOX ovseni napitak kokos 1l,"289,99","349,99","303,99","319,99",-,"289,99",-
BOOM BOX ovseni napitak professional barista 1l,"299,99",-,"317,99",-,-,"299,99",-
Ovseno mleko JOYA 1l,"329,99","349,99","329,99","309,99",-,"329,99",-
ALPRO mleko kokos sa pirinčem 1l,"379,99","399,99","399,99","399,99","349,99","399,99",-
Mleko od pirinča JOYA 1l,"299,99","349,99","329,99","294,99",-,"369,99",-
SCOTTI pirinač kakao 1l,"359,99",-,"385,99",-,-,"334,99",-
ALPRO mleko kokos bez šećera 1l,"439,99","399,99","422,99","399,99","369,99",-,-
Sojino mleko ALPRO čokolada 1l,"419,99",-,"402,99","414,99",-,"419,99",-
Sojino mleko ALPRO vanila 1l,"419,99","414,99","402,99","414,99",-,"419,99",-
Sojino mleko JOYA sa kalcijumom 1l,"299,99","239,99","309,99","224,99","293,99","289,99",-
Sojino mleko PLANTINO classic 1l,"247,99",-,"285,99",-,-,"247,99",-
Sojino mleko MILBONA Bio 1l,-,-,-,-,-,-,"159,99"
BOOM BOX ovsena granola čokolada 300g,"439,99","418,99","372,99","386,99","379,99","419,99",-
BOOM BOX ovsena granola orašasti plodovi 300g,"439,99",-,"372,99",-,"379,99","419,99",-
BOOM BOX ovsena kaša čokolada banana lešnik 60g,"64,99","82,99","64,99","77,99",-,"64,99",-
BOOM BOX ovsena kaša lešnik čokolada 60g,"64,99","82,99","64,99","74,99","79,99","64,99",-
BOOM BOX ovsena kaša šumsko voće badem 60g,"64,99",-,"64,99","77,99",-,"64,99",-
DOBRA ovsena kaša brusnica 65g,"86,99","86,99","90,99","79,99",-,"79,99",-
DOBRA ovsena kaša chia jagoda 65g,"86,99","86,99","90,99","79,99","93,99","79,99",-
DOBRA ovsena kaša čokolada i kisela višnja 65g,-,"94,99","100,99","88,99",-,"88,99",-
DOBRA ovsena kaša malina i vanila 65g,"89,99","89,99","84,99","83,99","97,99","89,99",-
DOBRA ovsena kaša šumsko voće 65g,"86,99","86,99","84,99","79,99","93,99","79,99",-
Ovsena kaša DIET FIT malina 250g,"289,99","289,99",-,"274,99",-,-,-
Ovsena kaša DR.OETKER borovnica 60g,-,"85,99","79,99","77,99","78,99","79,99",-
Ovsena kaša DR.OETKER čoko komadići karamela posna 60g,-,"74,00","79,99","69,99","75,99","79,99",-
Ovsena kaša DR.OETKER čokolada posna 60g,"85,99","74,00","79,99","69,99","78,99","79,99",-
Ovsena kaša DR.OETKER kajsija 62g,"69,99",-,-,-,-,"69,99",-
Ovsena kaša DR.OETKER maline 60g,-,"69,99","84,99",-,-,"79,99",-
Ovsena kaša DR.OETKER vanila 62g,"85,99","85,99","79,99","64,99",-,"79,99",-
Ovsena kaša FUN&FIT malina 60g,-,-,-,-,-,"71,99",-
Ovsena kaša CROWNFIELD goji i aronija 65g,-,-,-,-,-,-,"54,99"
Hummus ARGETA masline 145g,-,"269,99","159,99","244,99",-,"244,99",-
Hummus ARGETA paprika 145g,-,"269,99","159,99","244,99",-,"244,99",-
Hummus CARNEX Vege 95g,"114,99","129,99","109,99","119,99","121,99","114,99",-
Hummus CARNEX Vege ajvar 95g,"114,99","131,99","109,99","119,99","120,99","114,99",-
Hummus CARNEX Vege pikant 95g,"114,99",-,"109,99","122,99","124,99","114,99",-
Hummus CARNEX Vege semenke bundeve 95g,"114,99",-,"109,99",-,"124,99","114,99",-
Hummus HUMMELA duo nougat & vanilla 70g,-,-,-,-,-,"122,99",-
Hummus RIBELLA ajvar 200g,-,-,-,-,-,"209,99",-
Hummus RIBELLA natural 200g,"209,99","194,99","189,99","188,99","226,99","209,99",-
Hummus RIBELLA onion sweet salad 200g,"229,99","229,99","223,99","197,99","224,99","209,99",-
Hummus RIBELLA pikant 80g,"109,99","108,99","108,99","99,99",-,"99,99",-
Hummus RIBELLA semenke bundeve 80g,"109,99","108,99",-,"99,99","111,99","99,99",-
Hummus RIBELLA šitake 80g,"109,99","108,99","108,99","99,99","111,99","99,99",-
Humus PATEWSKI ljuti 160g,"246,99",-,"219,99","269,99",-,"246,99",-
Namaz GAIA sa brokolijem i spanaćem 170g,"289,99",-,"291,99",-,-,-,-
Namaz PATEWSKI leblebija i kikiriki 160g,"246,99",-,-,-,-,"246,99",-
Namaz PATEWSKI ljuti pasulj 160g,"246,99",-,-,-,-,"246,99",-
Tahini BIOLAND 360g,"599,99","599,99","516,99","519,99",-,"519,99",-
Tahini BIOLAND sa morskom solju 360g,"599,99",-,-,"519,99",-,-,-
Bademov puter LUČAR 170g,"679,99","679,99","502,99","609,99","529,99","609,99",-
Kikiriki puter GRANUM 170g,"229,99","304,99","299,99","299,99","349,99","229,99",-
Kikiriki puter GRANUM crunchy 170g,"329,99","324,99","308,99","299,99","349,99",-,-
Lešnikov puter LUČAR 170g,"699,99","699,99",-,"619,99",-,"619,99",-
Puter od indijskog oraha LUČAR 170g,"729,99","729,99",-,"659,99",-,-,-
Kikiriki puter Vita D'or 500g,-,-,-,-,-,-,"379,99"
Jogurt ABT probiotik 1%mm 1kg,"139,99","139,99","156,99","134,99","158,99","169,99",-
"Jogurt DUKAT 3,2%mm 1kg","159,99","129,99","139,99","129,99",-,"154,99",-
Jogurt IMLEK Balans+ 1kg,"134,99","139,99","129,99","137,99","129,99","139,99",-
Jogurt IMLEK Bello 750g,"159,99","158,99","152,99","154,99","157,99","137,99",-
"Jogurt IMLEK Moja kravica 2,8% 1kg TT",-,"129,99","124,99","129,99","138,99",-,-
"Jogurt IMLEK Moja kravica gusti 2,8%mm 1kg",-,-,"129,99","134,99","124,99","147,99",-
"Jogurt MEGGLE 2,8%mm 1kg","124,99","136,99",-,"141,99","145,99","124,99",-
"Jogurt DR.MILK 2,8%mm 180g","27,99","36,99",-,"33,99",-,"27,99",-
"Jogurt DUKAT 3,2%mm 250g","42,99","44,99","42,99","42,99",-,-,-
Jogurt IMLEK Balans+ 250g,-,"56,99","53,99","52,99","52,99","52,99",-
"Jogurt IMLEK Moja kravica 2,8% TT 250g","47,99",-,"45,99","42,99","44,99","44,99",-
"Jogurt MEGGLE 0,5%mm 180g",-,-,-,"29,99",-,-,-
"Jogurt DUKAT 3,2%mm 500g","99,99",-,"89,99",-,-,-,-
Jogurt IMLEK Balans+ Imuno 330g,"79,99","79,99","78,99","77,99","73,99","77,99",-
"Jogurt IMLEK Moja kravica 2,8% 500ml","82,99","82,99","79,99","74,99","79,99",-,-
"Jogurt IMLEK Moja kravica gusti 2,8%mm 400g","79,99","79,99","74,99","72,99","73,99",-,-
"Jogurt ABT probiotik 1%mm 1,5kg","184,99","184,99","215,99","184,99","218,99","224,99",-
"Jogurt DUKAT 3,2%mm 1,5kg","207,99","169,99","169,99","169,99",-,"199,99","164,99"
"Jogurt DUKAT SenSia 1,5kg","209,99",-,"203,99","186,99",-,-,-
"Jogurt IMLEK 2,8% gusti 1,5kg","174,99","209,99","174,99","202,99","174,99",-,-
"Jogurt IMLEK Moja kravica 2,8% 1,5kg","174,99","184,99","169,99","174,99","169,99","199,99",-
"Jogurt MEGGLE 2,8%mm 1,5kg","169,99","183,99",-,"184,99","189,99","169,99",-
"Jogurt MLEKARA SUBOTICA Pekarski 1,45kg",-,-,"183,99","169,99",-,"172,99",-
"Kefir BALANS+ 2,8%mm 500g","89,99","89,99","94,99","84,99","89,99","87,99",-
"Kefir DR.MILK 2,8%mm 180g","42,99",-,"33,99",-,-,-,-
"Kefir MEGGLE 2,8%mm 180g","42,99","42,99","35,99","36,99","38,99","42,99",-
"Kefir MEGGLE 2,8%mm 330g","77,99","72,99","71,99","70,99","71,99","72,99",-
Kefir MEGGLE mango ananas kokos 330g,"99,99",-,-,-,-,-,-
Maslac BISER 10g,"32,99",-,"21,99","24,99","26,99","29,99",-
Maslac BISER 200g,-,"429,99",-,"377,99","428,99","419,99",-
Maslac BISER sa morskom solju 250g,-,-,-,-,"249,99",-,-
Maslac IMLEK Moja kravica 10g,-,-,"28,99","31,99","29,99",-,-
Maslac MEGGLE 200g,"359,99","415,99",-,"402,99","419,99","359,99",-
Maslac MEGGLE Alpenbutter 250g,"419,99","504,99","474,99","467,99",-,-,-
Maslac MEGGLE Alpinesse slani 250g,"349,99","406,99","349,99","375,99","391,99","349,99",-
Maslac PRESIDENT 200g,"394,99","407,99","359,99","375,99","439,99","394,99",-
Maslac PRESIDENT light slani 250g,"489,99","387,99","429,99","429,99",-,"474,99",-
Maslac PRESIDENT slani 200g,"394,99",-,"414,99",-,-,"394,99",-
Namaz od maslaca IMLEK original 200g,"309,99","427,99","367,99","414,99","383,99","414,99",-
"Dugotrajno mleko ALPSKO 3,5%mm 1l","184,99","139,99","179,99","139,99",-,"179,99",-
Dugotrajno mleko ALPSKO bez laktoze 1l,"209,99",-,"174,99","169,99",-,"204,99",-
"Dugotrajno mleko BELLO organsko 3,5%mm 1l",-,-,"154,99","149,99","149,99","154,99",-
"Dugotrajno mleko DUKAT 2,8%mm 1l","113,99",-,-,"113,99",-,"113,99",-
"Dugotrajno mleko IMLEK 1,5%mm 1l","134,99","133,99","136,99","133,99","134,99","134,99",-
"Dugotrajno mleko IMLEK 2,8%mm 1,5l","174,99","174,99","176,99","165,99","170,99","174,99",-
"Dugotrajno mleko IMLEK 2,8%mm 500ml","79,99","79,99","82,99","74,99","77,99","74,99",-
"Dugotrajno mleko IMLEK A+D3 3,2mm% 1l","137,99","136,99","139,99","134,99","134,99","134,99",-
"Dugotrajno mleko IMLEK Bello 2,8%mm 750ml","149,99","148,99","145,99","137,99",-,-,-
"Dugotrajno mleko IMLEK Junior 2,8%mm 1l","134,99","134,99","132,99","125,99","127,99",-,-
"Dugotrajno mleko MEGGLE 0,9%mm 1l","124,99",-,-,-,-,"122,99",-
"Dugotrajno mleko MEGGLE 2,8%mm 1l",-,"108,99",-,"108,99",-,"113,89",-
"Dugotrajno mleko MEGGLE 3,2%mm 1l","127,99","126,99",-,"119,99","119,99","122,99",-
"Dugotrajno mleko IMLEK za kafu 3,8%mm 1l","149,99","148,99","143,99","140,99","147,99","147,99",-
NOYNOY kondenzovano punomasno mleko 400g,"234,99",-,"199,99",-,"209,99",-,-
"Sveže mleko DR.MILK 2,8%mm 1,5l",-,"177,99",-,"173,99",-,"152,99",-
"Sveže mleko DUKAT 2,8%mm 1.5l","152,99","149,99","149,99","149,99",-,"152,99",-
"Sveže mleko DUKAT Volim 1,5%mm 0,965l",-,-,"89,99",-,-,"107,99",-
"Sveže mleko IMLEK 2,8%mm sa D3 0,968l","109,99","129,99","109,99","119,99","118,99","109,99",-
Sveže mleko MEGGLE 2.8%mm 1l,-,-,-,"104,99",-,-,-
Kisela pavlaka DR.MILK 20%mm 180g,"79,99","77,99",-,"72,99",-,"69,99",-
Kisela pavlaka IMLEK Moja kravica 20%mm 180g,"59,99","58,99","72,99","58,99","69,99","59,99",-
Kisela pavlaka IMLEK Moja kravica 20%mm 700g,"259,99","219,99","249,99","214,99","209,99","249,99",-
Kisela pavlaka IMLEK Moja kravica sa šunkom 150g,"89,99",-,"82,99","74,99","74,99","84,99",-
Kisela pavlaka MEGGLE 12%mm 400g,"134,99","133,99",-,"129,99","134,99","132,99",-
Kisela pavlaka MEGGLE 20%mm 180g,"77,99","75,99","66,99","73,99","68,99",-,-
Kisela pavlaka MEGGLE 20%mm 700g,"264,99","254,99","237,99","244,99",-,"249,99",-
Kisela pavlaka ZDRAVO 20%mm 700g,-,"253,99","249,99","241,99",-,-,-
Paprika u pavlaci MEGGLE 700g,"469,99","466,99","426,99","449,99","450,99","459,99",-
Krem za kuvanje POLIMARK 1l,"449,99","394,99","431,99","389,99","349,99","429,99",-
Krem za kuvanje POLIMARK 500ml,"279,99","249,99","252,99","249,99","274,99","264,99",-
Pavlaka za kuvanje CAMPINA 200ml,"119,99","158,99","118,99","139,99",-,-,-
Pavlaka za kuvanje GRAN CUCINA 200ml,"159,99","156,99","139,99","139,99","142,99","149,99",-
"Pavlaka za kuvanje IMLEK 20%mm 0,5l",-,"267,99","283,99","261,99","274,99","234,99",-
Pavlaka za kuvanje MEGGLE 20%mm 1l,"394,99","479,99",-,"459,99","472,99","394,99",-
Pavlaka za kuvanje MEGGLE 20%mm 200ml,"124,99","146,99","142,99","139,99","139,99","124,99",-
Pavlaka za kuvanje MEGGLE light 10%mm 500ml,"239,99","286,99","276,99","254,99","229,99","239,99",-
Pavlaka za kuvanje PRESIDENT 200g,"149,99","159,99","129,99","151,99",-,"139,99",-
Pavlaka za kuvanje PRESIDENT light 10%mm 200g,"129,99","148,99","141,99","142,99",-,"147,99",-
Pavlaka za kuvanje PILOS 10%mm 500ml,-,-,-,-,-,-,"159,99"
Pavlaka za kafu CAMPINA 10x10g,"59,99","72,99","54,99","64,99","59,99","59,99",-
Pavlaka za šlag PRESIDENT 500g,"499,99","509,99","499,99","479,99",-,-,-
Šlag krem CASTELLO 500g,-,-,-,-,-,-,"199,99"
Pavlaka za kuvanje HULALA 1l,-,-,-,-,-,"449,99",-
Šlag krem POLIMARK 200ml,"79,99","108,99","106,99","99,99","114,99","79,99",-
Slatka pavlaka HOLE' 200ml,"99,99","143,99","116,99","126,99","142,99","99,99",-
Slatka pavlaka IMLEK 36%mm 250ml,"139,99","178,99","172,99","159,99","156,99","139,99",-
Slatka pavlaka MEGGLE Creme patisserie 200ml,"132,99","129,99","109,99","122,99","125,99","127,99",-
Beli sir DR.MILK Unikatos punomasni 260g,-,-,"226,99",-,-,-,-
Beli sir Grekos 500g,-,"396,99","393,99","379,99","379,99","379,99",-
Beli sir MLEKARA ŠABAC 250g,"259,99","253,99","225,99","179,99","241,99","239,99",-
Beli sir MLEKARA ŠABAC 900g,"749,99","709,99",-,"549,99","698,99","729,99",-
Beli sir MLEKARA ŠABAC morska so 450g,-,"329,99",-,"362,99","335,99",-,-
Beli sir PERFETTA 500g,-,-,"399,99","322,99","380,99","349,99",-
Beli sir PRESIDENT Somborska 500g,"399,99","372,99","299,00","304,99","379,99","389,99",-
Feta sir DODONI 150g,"509,99",-,"484,99",-,"433,99",-,-
Feta sir DODONI 400g,"1.279,99",-,"989,99","1.199,00",-,"1.259,99",-
Sveži sir MLEKARA SUBOTICA Ella 400g,"249,99","247,99","234,99","216,99",-,"227,99",-
Sveži sir PRESIDENT Lagani 400g,"189,99",-,"189,99",-,-,"189,99",-
Bajuval PALADIN 1kg,"1.899,90",-,"1.349,90","1.499,00",-,"1.899,90",-
Cheddar PALADIN 1kg,"1.949,90",-,"1.944,99","1.499,00",-,"2.099,90",-
Cheddar PRESIDENT mild white 200g,"599,99",-,"579,99",-,-,-,-
Edam PRESIDENT 250g,"459,99",-,"449,99",-,-,"449,99",-
Edamer BISER 45%mm 250g,"459,99","413,99","319,99","385,99","418,99","419,99",-
Edamer PRESIDENT Emmental 250g,"679,99","673,99","633,99","617,99",-,-,-
Gauda BELJE 1kg,"999,90",-,"1.431,99",-,"1.499,99","999,90",-
Gauda BISER 45%mm 250g,"459,99","427,99","419,99","385,99","418,99","419,99",-
Gauda IMLEK 45%mm 1kg,-,-,-,-,-,"1.499,90",-
Gauda PRESIDENT 1kg,-,-,"1.249,90","1.099,00",-,-,-
Gauda VAŠA MLEKARA 1kg,-,-,"1.550,99",-,-,-,-
Kačkavalj BISER 45%mm 1kg,"1.749,99",-,-,-,"1.667,99",-,-
Mozzarella BISER 450g,"829,99","746,99","692,99","745,99","733,99","689,99",-
Mozzarella GALBANI Mini 150g,"369,99","309,99","349,99","283,99",-,"299,99",-
Mozzarella PALADIN 125g,"229,99","186,99","169,99","164,99","189,99","209,99",-
Tilsiter PALADIN 1kg,"1.999,90",-,"1.360,99","1.879,00",-,"1.959,90",-
Trapist BISER 45%mm 250g,-,"441,99","419,99","379,99","418,99","419,99",-
Trapist VAŠA MLEKARA 1kg,-,-,"1.449,99",-,"1.556,99",-,-
Carski sir BLUEDINO dimljeni 150g,-,-,-,-,-,-,"169,99"
Carski sir BLUEDINO natur 150g,-,-,-,-,-,-,"169,99"
Edamer BLUEDINO 800g,-,-,-,-,-,-,"679,99"
Edamer PILOS 250g,-,-,-,-,-,-,"199,99"
Ementaler MILBONA listići 150g,-,-,-,-,-,-,"199,99"
Gauda MILBONA 300g,-,-,-,-,-,-,"269,99"
Gauda MILBONA mlada 450g,-,-,-,-,-,-,"449,99"
Italijanski sir LOVILIO rendani 100g,-,-,-,-,-,-,"156,99"
Kačkavalj BLUEDINO Krstaš 45%mm 750g,-,-,-,-,-,-,"57,99"
Mozzarela LOVILIO classic 125g,-,-,-,-,-,-,"119,99"
Mozzarela LOVILIO rendani 200g,-,-,-,-,-,-,"199,99"
Tisliter MILBONA listići 150g,-,-,-,-,-,-,"169,99"
Trapist PILOS 300g,-,-,-,-,-,-,"231,99"
Trapist PILOS listići 125g,-,-,-,-,-,-,"139,99"
Mladi sir MLEKARA ŠABAC 250g,-,-,-,-,"188,99",-,-
Mladi sir PRESIDENT domaći 250g,"179,99","168,99","139,99","151,99",-,"159,99",-
Sitan sir DR.MILK 400g,"299,99",-,-,-,-,"249,99",-
Sitan sir PILOS 25% 500g,-,-,-,-,-,-,"149,99"
Gorgonzola ZANETTI 100g,"309,99","306,99","260,99","273,99","280,99","279,99",-
Maskarpone GALBANI ekstra meki 500g,"899,99","801,99","729,99","801,99",-,"879,99",-
Parmezan ZANETTI Formaggio 250g,"689,99",-,"567,99",-,-,-,-
Parmezan ZANETTI Formaggio 80g,"289,99","289,99","241,99","262,99",-,"269,99",-
Parmezan ZANETTI Grana padano 50g,"144,99","193,99","174,99","174,99","176,99","144,99",-
Pekorino ZANETTI Romano 200g,"819,99","789,99","769,99","751,99",-,-,-
Meki sir PRESIDENT Camembert 250g,"589,99","584,99","533,99","539,99",-,-,-
Kajmak PRESIDENT mladi 100g,"189,99","188,99","139,99","154,99",-,"164,99",-
Sirni namaz MLEKARA ŠABAC Ala kajmak 150g,"179,99",-,"151,99","109,99","169,99","169,99",-
Mileram MEGGLE 22%mm 400g,-,-,-,-,-,"159,99",-
Krem sir ABC 100g,"99,99",-,"69,99","69,99","79,99","94,99",-
Krem sir ABC kulen 100g,-,"99,99","95,99","94,99","96,99","94,99",-
Krem sir ABC sa šunkom 200g,"139,99","189,99","177,99","179,99","109,99","139,99",-
Mladi sir BISER Belisimo 225g,"199,99",-,"139,99","185,99","174,99",-,-
MOJA KRAVICA krem sir 150g,"139,99","159,99","129,99","159,99","154,99",-,-
MOJA KRAVICA krem sir 200g Imlek,"179,99","164,99","139,99","137,99","159,99","169,99",-
Sirni namaz BISER vajkrem natur 100g,"129,99",-,"109,99",-,"106,99","99,99",-
Sirni namaz KREMSI 250g,"199,99","199,99","149,99","179,99","143,99","179,99",-
Sirni namaz MEGGLE 200g,"144,99","142,99",-,"131,99","131,99","134,99",-
Sirni namaz MLEKARA ŠABAC Ala krem 250g,"359,99",-,"297,99",-,-,-,-
Sirni namaz PHILADELPHIA classic 200g,"379,99","379,99","364,99","359,99","289,99",-,-
Sirni namaz PRESIDENT Somborska 150g,"179,99",-,"124,99",-,-,"159,99",-
Sirni namaz SIRKO 100g,"109,99","102,99","94,99","99,99","103,99","99,99",-
Sirni namaz SIRKO povrće 150g,-,"184,99",-,"166,99","176,99","179,99",-
Batat 1kg,-,"299,99",-,"299,99",-,"199,99","249,99"
Blitva veza komad 1kg,"49,99",-,-,"39,99",-,"49,99",-
Celer 1kg,-,"139,99",-,"139,99","139,99","199,99",-
Crveni luk 1kg,"89,99","79,99",-,"79,99",-,-,"139,99"
Đumbir 1kg,"399,99","419,99",-,"419,99","429,99","399,99","449,99"
Kelj 1kg,-,"89,99",-,"89,99",-,"99,99",-
Krompir beli 1kg,"79,99",-,-,-,-,"79,99",-
Kupus crveni 1kg,-,"79,99",-,"79,99","119,99","59,99","109,99"
Paprika babura 1kg,-,"159,99",-,"159,99",-,"179,99","249,99"
Paprika ljuta komad,"19,99","19,99","24,99",-,"19,99","19,99","14,99"
Paradajz 1kg,"149,99","98,99",-,"179,99","189,99","149,99","99,99"
Pasulj beli 1kg,-,"329,99",-,"329,99","229,99",-,-
Pasulj Gradištanac 1kg,"249,99","329,99",-,"329,99",-,"249,99","299,99"
Pasulj šareni 1kg,"399,99","369,99",-,"369,99","329,99","399,99",-
Plavi patlidžan 1kg,"99,99","119,99",-,-,-,"99,99",-
Šampinjoni 400g,"149,99","149,99","139,99","149,99","129,99","149,99","129,99"
Tikvice bele 1kg,-,"54,99",-,-,"49,99","59,99","89,99"
Salata Iceberg 200g,-,-,"139,99",-,-,-,-
Budimska NEOPLANTA 1kg,-,-,"1.707,99","1.639,00","1.399,99","1.699,90",-
Čajna kobasica NEOPLANTA 295g,"579,99","579,99","502,99","549,99","439,99","549,99",-
Kobasica NEOPLANTA Fruštuk ljuta 1kg,-,-,-,"1.399,00","1.168,99","1.499,90",-
Kobasica NEOPLANTA Fruštuk mini ljuta 230g,-,-,-,-,"249,99","349,99",-
Kulen NEOPLANTA 1kg,"1.199,90",-,"1.707,99","1.639,00","1.349,99","1.199,90",-
Budimska CARNEX 1kg,"1.899,90",-,-,"1.786,00",-,-,-
Čajna kobasica CARNEX 1kg,"1.199,90",-,"1.199,00","1.699,00","1.199,99","1.199,90",-
Čajna kobasica TOPOLA 1kg,-,-,"1.099,00","1.579,00",-,-,-
Čajna kobasica YUHOR 300g,"409,99","319,99",-,"559,99","449,99","409,99","487,99"
Kobasica ZLATIBORAC čajna goveđa 310g,"619,99","619,99",-,"518,99","567,99",-,-
Kobasica ZLATIBORAC goveđa čajna 1kg,-,-,"1.784,99","1.849,00","1.819,99",-,-
Kulen TOPOLA 1kg,-,-,"1.949,00","1.119,00","1.804,99",-,-
Kulen ZLATIBORAC goveđi vakuum 100g,"189,99","169,99","215,99","159,99",-,"189,99",-
Kulen ZLATIBORAC vakuum 100g,"159,99","169,99","229,99","159,99","187,99","159,99",-
Piknik TOPOLA 1kg,-,-,-,"1.731,00",-,-,-
Sendvič salama ZLATIBORAC 1kg,-,-,-,"1.382,00",-,"1.399,90",-
Sudžuk ZLATIBORAC vakuum 1kg,-,-,-,"1.899,00",-,-,-
Haringa EVA u biljnom ulju 170g,"274,99","256,99","240,99","246,99","269,99","264,99",-
Skuša COMPASS fileti u ulju 170g,"384,99",-,"312,99",-,"350,99",-,-
Skuša LA PERLA fileti 115g,-,"267,99","179,99","264,99","230,99","264,99",-
Narezak NEOPLANTA goveđi 100g,"127,99","110,99","79,99","89,99",-,"89,99",-
Narezak NEOPLANTA mesni 100g,"99,99","99,99","81,99","85,99","74,99","94,99",-
Narezak CARNEX mesni 100g,"99,99","124,99","99,99","114,99","127,99","99,99",-
Narezak YUHOR goveđi 150g,"174,99","171,99",-,"164,99","119,99","164,99",-
Sardina LA PERLA 125g,"152,99","178,99","169,99","169,99","161,99","152,99",-
Sardina STARI BEOGRAD u biljnom ulju 100g,"162,99",-,"134,99",-,"181,99","162,99",-
Sardine EVA gold 115g,"229,99","199,99",-,"209,99",-,"214,99",-
Sardine EVA paradajz 115g,"189,99","170,99","164,99","169,99","183,99","169,99",-
Sardine EVA povrće u umaku 115g,"189,99","170,99","164,99","167,99","183,99","169,99",-
Sardine EVA u biljnom ulju 115g,"189,99","179,99","179,99","169,99","183,99","169,99",-
Tunjevina CALVO California 150g,"434,99",-,"351,99",-,-,"269,99",-
Tunjevina CALVO Mexicana 150g,"434,99","412,99","351,99","339,99",-,"279,99",-
Tunjevina CALVO u biljnom ulju 80g,"264,99",-,"235,99",-,-,"189,99",-
Tunjevina CALVO u maslinovom ulju 80g,"299,99",-,"261,99",-,-,"274,99",-
Tunjevina CALVO u paradajz sosu 80g,"264,99",-,"235,99",-,-,"189,99",-
Tunjevina CALVO u sopstvenom soku 80g,"264,99","239,99","235,99","219,99",-,"189,99",-
Tunjevina COMPASS komadići u ulju 150g,"114,99",-,"159,99",-,"199,99","114,99",-
Tunjevina EVA fileti u biljnom ulju 115g,"339,99","439,99","379,99","367,99",-,"339,99",-
Tunjevina EVA komadići 160g,"149,99","239,99","386,99","235,99","247,99","149,99",-
Tunjevina LA PERLA Komadi 170g,"229,99","304,99","199,99","269,99","263,99","229,99",-
Tunjevina LA PERLA Mrvljena 170g,"159,99","144,99","204,99","144,99","199,99","159,99",-
Tunjevina RIO MARE Kus kus 160g,"494,99","479,99","479,99","459,99","487,99","459,99",-
Tunjevina RIO MARE Maslinovo Ulje 160g,"639,99","639,99","571,99","559,99","598,99","559,99",-
Tunjevina RIO MARE Maslinovo Ulje 3x80g,-,"499,00",-,"469,00",-,-,-
Tunjevina RIO MARE Maslinovo Ulje Roza 80g,-,-,"365,99",-,-,-,-
Tunjevina RIO MARE Naturale Sopstveni Sok 4x80gr,"1.149,99","1.149,00","799,99","1.096,00","1.148,99","1.109,99",-
Tunjevina RIO MARE Salata Kukuruz 160g,"494,99","494,99","479,99","459,99","487,99","459,99",-
Tunjevina RIO MARE salata mexicana 2x160g,"469,99","999,99","659,99","939,99",-,"469,99",-
Tunjevina RIO MARE u suncokretovom ulju 160g,"269,99","399,99","398,99","379,99","417,99","269,99",-
Pašteta NEOPLANTA đačka 75g,"89,99",-,"71,99",-,"66,99","79,99",-
Pašteta ARGETA jetrena 95g,"127,99","99,99","113,99","92,99","99,99","117,99",-
Pašteta CARNEX jetrena 50g,"54,99","59,99","52,99","54,99","64,99","54,99",-
Pašteta CARNEX Smazalice jetrena 50g,"82,99","76,99","57,99","62,99","72,99","72,99",-
Pašteta PATELINA jetrena 90g,-,-,-,-,"89,99","96,99",-
Pašteta YUHOR jetrena 75g,"92,99","92,99",-,"78,99","76,99","84,99",-
Pašteta ARGETA ćureća 95g,"94,99","126,99","114,99","108,99","117,99","94,99",-
Pašteta ARGETA junior 95g,"94,99","119,99","119,99","114,99","99,99","94,99",-
Pašteta CARNEX ćureća 95g,"117,99",-,"112,99","112,99","99,99","107,99",-
Pašteta CARNEX Smazalice ćureća 95g,"107,99","106,99","101,99","97,99","89,99","97,99",-
Pašteta YUHOR ćureća 50g,"44,99","78,99",-,"51,00","58,99","44,99",-
Pašteta NEOPLANTA sa šunkom 75g,"89,99","89,99",-,"68,99","66,99","79,99",-
Pašteta ARGETA sa pečenom paprikom 95g,"127,99","127,99","113,99","114,99","99,99","117,99",-
Pašteta CARNEX sa povrćem 50g,"57,99","59,99","52,99","54,99","64,99","57,99",-
Pašteta CARNEX sa šunkom 50g,"54,99","59,99","52,99","54,99","64,99","54,99",-
Pašteta PATELINA šunka 90g,-,"99,99",-,"96,99","89,99","96,99",-
Pašteta YUHOR čajna 50g,"44,99","78,99",-,"51,00","58,99","44,99",-
Pašteta YUHOR sa šunkom u crevu 130g,"84,99",-,-,-,"49,99","79,99",-
Pašteta NEOPLANTA pileća 75g,"89,99",-,"54,99",-,"66,99","79,99",-
Pašteta PATELINA junior pileća 60g,"84,99","76,99","82,99","73,99","69,99","74,99",-
Pašteta ARGETA kokošija 45g,"79,99","79,99","79,99","69,99","71,99","74,99",-
Pašteta ARGETA kokošija krem pikant 95g,-,-,"113,99","109,99","117,99",-,-
Pašteta ARGETA pikant kokošija 95g,"127,99","99,99","89,99","92,99","117,99","117,99",-
Pašteta CARNEX pileća 95g,"117,99",-,"105,99","106,99","89,99","107,99",-
Pašteta CARNEX Smazalice 50g,"79,99","64,99","57,99","62,99","72,99",-,-
Pašteta PATELINA pileća 60g,"89,99","89,99","84,99","72,99","69,99","79,99",-
Pašteta YUHOR kokošija delicata 95g,"137,99",-,-,-,-,"124,99",-
